,y_obs
0,-1.602562099824744e-11
1,-1.4502304465458494e-11
2,-1.2543959288444128e-11
3,-1.1201630060323472e-11
4,-9.890228724414504e-12
5,-8.5278804522797e-12
6,-7.466058876062904e-12
7,-6.67484812834648e-12
8,-5.779993318766144e-12
9,-5.2758657396538985e-12
10,-4.2957771375504124e-12
11,-3.74914057981076e-12
12,-3.2602722740377825e-12
13,-3.126659092051992e-12
14,-2.581162140101744e-12
15,-2.218501878099474e-12
16,-1.891038550738009e-12
17,-1.65219312707009e-12
18,-1.3306426297723826e-12
19,-1.4272206006414755e-12
20,-1.1270828862553736e-12
21,-1.0281412612827547e-12
22,-8.176304224791244e-13
23,-6.723367514085847e-13
24,-5.007995985041631e-13
25,-5.968354488529781e-13
26,-4.1043003649180786e-13
27,-5.971414677517567e-13
28,-3.7936545080425197e-13
29,-2.0788433337315536e-13
30,-3.1245849960592635e-13
31,-2.032138664830492e-13
32,-1.0114471805421002e-13
33,-7.432833655259461e-14
34,-6.912300147719213e-14
35,-1.4729232971753263e-13
36,-1.0490936746940801e-13
37,-1.3426366061235286e-13
38,-4.435877078490381e-15
39,1.620944931773377e-13
40,-5.926058345778715e-14
41,-1.1475860150554016e-13
42,-4.689007315919744e-14
43,-2.5135280331831206e-13
44,-1.3340195882543773e-14
45,-1.2283022868626913e-13
46,-4.24434504029012e-14
47,-2.317255101304326e-14
48,5.3835396823827685e-14
49,2.658056393619205e-15
50,6.77144413900495e-14
51,-1.5881936739962357e-13
52,-1.525676283105955e-13
53,-2.083887018346177e-14
54,-6.416109662013043e-14
55,-2.2574441188710038e-14
56,2.8354373081040033e-14
57,-9.67408353997231e-15
58,5.1254387125504875e-14
59,1.499444312463573e-13
60,-1.0143865617755565e-13
61,-1.0522661136976556e-14
62,2.7766396733361675e-14
63,-2.3482733647338856e-14
64,1.0109267748802737e-13
65,-2.420326286080033e-13
66,2.0133386182721352e-13
67,-1.1576307821553848e-13
68,1.988520823457543e-14
69,6.933992088879909e-14
70,-7.952710920480192e-14
71,4.5351445770886844e-14
72,6.968041984529523e-14
73,5.170580215056182e-14
74,-9.318582320631799e-14
75,2.0029739620575247e-13
76,2.2273152912153197e-14
77,-1.1563356044852202e-13
78,6.287843985332103e-14
79,3.67366437286273e-15
80,4.6198023447945013e-14
81,-3.5656130060936205e-13
82,1.3192834209618487e-13
83,1.510472170838348e-14
84,1.6315460292990204e-14
85,-4.3128998481362115e-14
86,7.663307911275424e-14
87,9.84017829727483e-14
88,2.7005215482845803e-14
89,1.3913051036161142e-13
90,7.925045333663022e-15
91,-4.0047886600927453e-14
92,-1.028297424162721e-13
93,-5.851064667877755e-14
94,8.162566187311766e-14
95,-8.224010194775915e-15
96,-3.450206842427414e-14
97,5.280667571241509e-14
98,-1.0691812666868014e-13
99,-5.120490309864347e-14
100,2.9105855655800654e-14
101,5.6640465622061275e-14
102,5.03477940284057e-14
103,2.851953016536196e-14
104,4.842003270223554e-14
105,1.3634036542302383e-13
106,-7.811744386654558e-14
107,-4.680789568753294e-14
108,1.2245204549657726e-13
109,-1.2811557343119657e-13
110,8.75433785003788e-14
111,-1.7107519604672525e-13
112,-4.5079739610200696e-14
113,7.491356505287052e-14
114,-2.0395706112243857e-14
115,-1.8219580803526565e-14
116,6.806393709119257e-14
117,-1.8185123747303202e-13
118,4.706079750457068e-15
119,3.948351436656011e-14
120,-2.484403870097624e-14
121,-6.177146582683212e-14
122,-6.828916675523455e-14
123,4.362502718091604e-14
124,-1.703019379260015e-13
125,1.673931578558862e-11
126,1.4453938750004955e-11
127,1.2543078829838884e-11
128,1.0995531815606068e-11
129,9.581958505646728e-12
130,8.322971845139294e-12
131,7.265128833427648e-12
132,6.423412302145014e-12
133,5.742874173688288e-12
134,4.931842921007077e-12
135,4.1741943592778085e-12
136,3.540467235860642e-12
137,3.486323715350413e-12
138,2.7208989483532814e-12
139,2.666067881928385e-12
140,2.318975418871903e-12
141,1.932369321070703e-12
142,1.8046609987213899e-12
143,1.4425401028134435e-12
144,1.4628086897007883e-12
145,1.132551306873342e-12
146,1.1141843099893367e-12
147,1.0185242573883575e-12
148,7.98789844266535e-13
149,9.514270809696737e-13
150,6.798169273947064e-13
151,6.352984067794179e-13
152,4.4253387665726963e-13
153,4.263680296742827e-13
154,5.167844862903413e-13
155,2.5554310218077375e-13
156,8.400893880096091e-14
157,2.2805809841152525e-13
158,1.4190305929025827e-13
159,2.3681346142339364e-13
160,2.3309258424382164e-13
161,8.389038025423536e-14
162,1.0760294446521751e-13
163,3.155145088442237e-14
164,2.2693704430531484e-14
165,1.1846690132615086e-13
166,1.4745597342827591e-13
167,9.326802118986901e-14
168,1.6108854485489291e-13
169,1.5689483777716e-13
170,4.39555262716614e-14
171,-9.889540534683854e-15
172,-5.394132811856538e-14
173,-8.872833090540319e-14
174,4.5009383453302107e-14
175,5.095983143611988e-15
176,2.3653390391460093e-13
177,3.354161058898128e-14
178,-1.2212849742787136e-13
179,1.5889429810418739e-13
180,-2.0014369834893342e-13
181,-1.2182710488619944e-13
182,4.775778033123235e-14
183,8.582223988615934e-15
184,1.361183053630438e-13
185,-1.3712626820945136e-13
186,-1.1264489450575855e-13
187,-5.308722857535138e-14
188,-3.6071325944791985e-14
189,-1.3783422800642166e-13
190,2.5129484395744857e-14
191,-5.559373542053234e-14
192,-1.4405253760751685e-13
193,-8.67799022854253e-14
194,1.1297314296686833e-13
195,-4.09162046074854e-14
196,-1.4136247335231631e-14
197,9.06602112921575e-14
198,3.0376572009503014e-14
199,-1.0379581410630188e-13
200,-3.0757833152522935e-14
201,-6.094169901614201e-14
202,1.663303507326541e-14
203,-5.6322155475509416e-14
204,1.0649000571565068e-13
205,-7.850780305613309e-14
206,-5.189693366840573e-14
207,7.687012074219833e-15
208,1.9151648421287448e-13
209,7.918521395995156e-14
210,5.165124287271899e-14
211,-5.433894275121263e-14
212,1.0466154416243615e-13
213,2.110141801740042e-13
214,1.4620069260109585e-13
215,1.0172404107716971e-13
216,7.508037884778374e-14
217,-6.740926292896053e-14
218,4.4152728921039593e-14
219,6.900844964469893e-14
220,-2.7566429289117082e-14
221,1.925399677713956e-13
222,4.11968486204526e-14
223,8.914394942614623e-14
224,2.2695847666820085e-14
225,-2.078092541916321e-13
226,-3.874225364923935e-14
227,-8.66977113224078e-15
228,1.126747331219435e-13
229,2.474311630606721e-14
230,1.2145404512217816e-14
231,2.992332978281231e-14
232,-1.568785161925432e-14
233,-7.402737975607675e-14
234,-1.24748031178966e-13
235,2.496078720011069e-14
236,5.812083966618247e-14
237,2.763963521406912e-13
238,3.994308781562828e-14
239,6.685812936602166e-14
240,-2.75691514078947e-14
241,5.0055548032398186e-14
242,8.631289549715764e-14
243,-1.051571281431235e-13
244,-1.392004135655332e-13
245,1.1539663049054366e-13
246,1.1819831266908604e-13
247,3.9140634186047433e-14
248,-8.810155762395345e-14
249,2.951087621654058e-14
250,9.261692401525114e-11
251,7.973254096728651e-11
252,6.909305310378019e-11
253,6.079133381950198e-11
254,5.3926104842138605e-11
255,4.813234225648256e-11
256,4.3410123912219324e-11
257,3.948354709207926e-11
258,3.586786708048405e-11
259,3.277873119118723e-11
260,3.031883780087644e-11
261,2.7802309437458165e-11
262,2.568736419695412e-11
263,2.3837664689329184e-11
264,2.2065061388375605e-11
265,2.0590703238871284e-11
266,1.9109961109650838e-11
267,1.7978730201834754e-11
268,1.656623345212705e-11
269,1.557754781401667e-11
270,1.4552050835640355e-11
271,1.3572518870626054e-11
272,1.276542026453043e-11
273,1.194678659802699e-11
